site,log_id,species,treatment,time,length,volume
5,361,PSME,N,0,5.57,1.4105
5,362,THPL,N,0,5.48,1.3533
5,363,TSHE,N,0,5.55,1.0314
5,364,PSME,N,0,5.52,1.5743
5,365,PSME,E,0,5.5,1.7332
5,366,THPL,N,0,5,1.2892
5,367,ABAM,N,0,5.45,0.914
5,368,TSHE,N,0,5.5,0.8883
5,369,TSHE,N,0,5.6,1.1266
5,370,ABAM,N,0,5.56,1.1572
5,371,TSHE,N,0,5.53,1.1088
5,372,PSME,E,0,5.5,1.2253
5,373,THPL,N,0,5.55,1.8014
5,374,PSME,N,0,5.52,1.1666
5,375,TSHE,N,0,5.62,1.6302
5,376,TSHE,E,0,5.5,1.368
5,377,ABAM,N,0,5.58,1.1973
5,378,PSME,N,0,5.55,1.2325
5,379,PSME,E,0,5.5,0.8748
5,380,PSME,N,0,5.5,1.0303
5,381,TSHE,E,0,5.53,1.5214
5,382,THPL,N,0,5.58,1.0251
5,383,ABAM,N,0,5.54,1.1401
5,384,THPL,N,0,5.55,1.7416
5,385,TSHE,N,0,5.55,1.4514
5,386,PSME,E,0,5.5,1.1148
5,387,THPL,N,0,5.55,1.1067
5,388,TSHE,N,0,5.54,1.1176
5,389,THPL,N,0,5.55,1.1879
5,390,ABAM,N,0,5.59,1.464
5,391,PSME,E,0,5.5,1.3032
5,392,TSHE,E,0,5.75,1.3387
5,393,ABAM,N,0,5.84,0.896
5,394,ABAM,N,0,5.52,1.3609
5,395,TSHE,E,0,5.5,1.0747
5,396,TSHE,N,0,5.56,0.9197
5,397,THPL,N,0,5.52,1.3001
5,398,TSHE,N,0,5.54,1.2752
5,399,PSME,N,0,5.54,1.1809
5,400,ABAM,N,0,5.49,1.3828
5,401,ABAM,N,0,5.52,1.2861
5,402,PSME,N,0,5.56,1.5447
5,403,PSME,E,0,5.54,1.3658
5,404,TSHE,N,0,5.55,1.2955
5,405,ABAM,N,0,5.54,0.9078
5,406,TSHE,E,0,5.5,0.9415
5,407,PSME,N,0,5.55,1.0058
5,408,TSHE,N,0,5.57,0.8874
5,409,ABAM,N,0,5.55,1.3701
5,410,TSHE,E,0,5.5,1.4882
5,411,ABAM,N,0,5.56,1.4364
5,412,TSHE,N,0,5.56,1.3309
5,413,TSHE,N,0,5.6,1.1455
5,414,TSHE,N,0,5.46,1.386
5,415,PSME,N,0,5.55,1.3636
5,416,TSHE,E,0,5.5,1.3053
5,417,ABAM,N,0,5.55,1.5798
5,418,PSME,N,0,5.55,1.6186
5,419,TSHE,N,0,5.57,1.1985
5,420,TSHE,E,0,5.5,1.5362
5,421,THPL,N,0,5.59,1.0859
5,422,TSHE,N,0,5.56,1.1416
5,423,PSME,N,0,5.53,1.3561
5,424,PSME,N,0,5.56,1.2428
5,425,PSME,N,0,5.54,1.5716
5,426,TSHE,E,0,5.5,1.1757
5,427,THPL,N,0,5.61,1.1118
5,428,PSME,N,0,5.52,1.1591
5,429,TSHE,E,0,5.5,1.0936
5,430,TSHE,N,0,5.62,1.587
5,431,PSME,N,0,5.54,1.5848
5,432,THPL,N,0,5.46,1.1093
5,433,PSME,N,0,5.46,1.3168
5,434,ABAM,N,0,5.57,1.1775
5,435,THPL,N,0,5.52,1.3918
5,436,PSME,N,0,5.54,1.2004
5,437,PSME,E,0,5.5,1.0127
5,438,THPL,N,0,5.52,1.3729
5,439,THPL,N,0,5.58,1.2021
5,440,ABAM,N,0,5.54,1.4519
5,441,ABAM,N,0,5.59,1.1013
5,442,THPL,N,0,5.75,0.9992
5,443,THPL,N,0,5.57,1.1659
5,444,TSHE,N,0,5.57,1.117
5,445,TSHE,E,0,5.5,0.9682
5,446,THPL,N,0,5.44,1.6112
5,447,PSME,E,0,5.5,1.3147
5,448,PSME,E,0,5.5,1.141
5,449,PSME,N,0,5.53,1.0827
5,450,PSME,E,0,5.5,1.0383
5,451,ABAM,N,0,5.57,1.0417
5,452,ABAM,N,0,5.56,0.9936
5,453,TSHE,N,0,5.53,1.4624
5,454,PSME,N,0,5.54,1.0207
5,455,PSME,N,0,5.52,1.0028
5,456,THPL,N,0,5.53,1.9562
6,457,THPL,N,0,,1.6864
6,458,ABAM,N,0,,1.3814
6,459,PSME,N,0,,1.0644
6,460,ABAM,N,0,,1.7728
6,461,ABAM,N,0,,0.7674
6,462,TSHE,N,0,,1.3543
6,463,TSHE,N,0,,1.5716
6,464,THPL,N,0,,1.0035
6,465,TSHE,N,0,,1.0834
6,466,ABAM,N,0,,1.319
6,467,ABAM,N,0,,1.0383
6,468,TSHE,N,0,,0.8935
6,469,ABAM,N,0,,1.1728
6,470,THPL,N,0,,0.8837
6,471,THPL,N,0,,1.2034
6,472,PSME,N,0,,1.1149
6,473,THPL,N,0,,1.37
6,474,PSME,N,0,,1.0115
6,475,THPL,N,0,,1.0324
6,476,PSME,N,0,,1.2649
6,477,THPL,N,0,,1.0734
6,478,ABAM,N,0,,0.9272
6,479,THPL,N,0,,1.0504
6,480,THPL,N,0,,0.9908
6,481,THPL,N,0,,1.664
6,482,ABAM,N,0,,1.1588
6,483,ABAM,N,0,,1.5668
6,484,THPL,N,0,,1.3011
6,485,ABAM,N,0,,1.2243
6,486,THPL,N,0,,1.4504
6,487,PSME,N,0,,0.9396
6,488,TSHE,N,0,,1.0411
6,489,ABAM,N,0,,0.7664
6,490,TSHE,N,0,,0.9385
6,491,ABAM,N,0,,1.0958
6,492,TSHE,N,0,,1.068
6,493,PSME,N,0,,1.4225
6,494,ABAM,N,0,,1.5772
6,495,TSHE,N,0,,0.9936
6,496,ABAM,N,0,,1.7687
6,497,PSME,N,0,,1.1935
6,498,PSME,N,0,,1.4714
6,499,TSHE,N,0,,0.9351
6,500,ABAM,N,0,,0.8247
6,501,THPL,N,0,,0.936
6,502,PSME,N,0,,0.8833
6,503,TSHE,N,0,,1.3398
6,504,PSME,N,0,,1.2837
6,505,PSME,N,0,,1.2219
